sim_id,warehouse_id,adm1,activation_state_value,activation_state_id,customer_account,iccid,imsi,imsi_rb,sim_card_logical_status_value,sim_card_logical_status_id,sim_manufacturer_id,item_model_id,msisdn,physical_status_value,physical_status_id,sim_batch_id,extraction_timestamp,date,history_date
9158137180213200099,9147480535213897386,NULL,NULL,NULL,NULL,91581371802132000990,137180213200099,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137180613199999,9147480535213897386,NULL,NULL,NULL,NULL,91581371806131999990,137180613199999,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137180713199999,9147480535213897386,NULL,NULL,NULL,NULL,91581371807131999990,137180713199999,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137180913199999,9147480535213897386,NULL,NULL,NULL,NULL,91581371809131999990,137180913199999,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137181113200099,9147480535213897386,NULL,NULL,NULL,NULL,91581371811132000990,137181113200099,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137183713199999,9147480535213897386,NULL,NULL,NULL,NULL,91581371837131999990,137183713199999,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137184013200099,9147480535213897386,NULL,NULL,NULL,NULL,91581371840132000990,137184013200099,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137184513199999,9146582463313593578,NULL,Deactivated,NULL,NULL,91581371845131999990,137184513199999,NULL,Sold,9146590910013594704,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137184913199999,9147480535213897386,NULL,NULL,NULL,NULL,91581371849131999990,137184913199999,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137186513199999,9147480535213897386,NULL,NULL,NULL,NULL,91581371865131999990,137186513199999,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137187413199999,9147480535213897386,NULL,NULL,NULL,NULL,91581371874131999990,137187413199999,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137188013200099,9147480535213897386,NULL,NULL,NULL,NULL,91581371880132000990,137188013200099,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137188413199999,9147480535213897386,NULL,NULL,NULL,NULL,91581371884131999990,137188413199999,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137190113200291,9154800278013547325,NULL,NULL,NULL,NULL,91581371901132002910,137190113200291,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137190813200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371908132000500,137190813200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137191013200291,9154800278013547325,NULL,NULL,NULL,NULL,91581371910132002910,137191013200291,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137191713200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371917132000500,137191713200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137191913200050,9154800278013547325,NULL,NULL,NULL,NULL,91581371919132000500,137191913200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137192213200291,9154800278013547325,NULL,NULL,NULL,NULL,91581371922132002910,137192213200291,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137192313200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371923132000500,137192313200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137192413200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371924132000500,137192413200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137192413200191,9154800278013547325,NULL,NULL,NULL,NULL,91581371924132001910,137192413200191,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137192613200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371926132000500,137192613200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137193213200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371932132000500,137193213200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137193413200191,9154800278013547325,NULL,NULL,NULL,NULL,91581371934132001910,137193413200191,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137193513200191,9154800278013547325,NULL,NULL,NULL,NULL,91581371935132001910,137193513200191,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137193813200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371938132000500,137193813200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137194213200191,9154800278013547325,NULL,NULL,NULL,NULL,91581371942132001910,137194213200191,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137194513200191,9154800278013547325,NULL,NULL,NULL,NULL,91581371945132001910,137194513200191,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137194813200191,9154800278013547325,NULL,NULL,NULL,NULL,91581371948132001910,137194813200191,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137195113200150,9154800278013547325,NULL,NULL,NULL,NULL,91581371951132001500,137195113200150,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137195213200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371952132000500,137195213200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137195213200292,9154800278013547325,NULL,NULL,NULL,NULL,91581371952132002920,137195213200292,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137195613200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371956132000500,137195613200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137195813200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371958132000500,137195813200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137195913200191,9154800278013547325,NULL,NULL,NULL,NULL,91581371959132001910,137195913200191,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137196013200150,9154800278013547325,NULL,NULL,NULL,NULL,91581371960132001500,137196013200150,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137196213200292,9154800278013547325,NULL,NULL,NULL,NULL,91581371962132002920,137196213200292,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137196613200191,9154800278013547325,NULL,NULL,NULL,NULL,91581371966132001910,137196613200191,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137196913200050,9154800278013547325,NULL,NULL,NULL,NULL,91581371969132000500,137196913200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137197213200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371972132000500,137197213200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137197213200292,9154800278013547325,NULL,NULL,NULL,NULL,91581371972132002920,137197213200292,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137197313200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371973132000500,137197313200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137197713200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371977132000500,137197713200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137198313200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371983132000500,137198313200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137198313200191,9154800278013547325,NULL,NULL,NULL,NULL,91581371983132001910,137198313200191,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137198913200050,9154800278013547325,NULL,NULL,NULL,NULL,91581371989132000500,137198913200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137199113200291,9154800278013547325,NULL,NULL,NULL,NULL,91581371991132002910,137199113200291,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137199313200292,9154800278013547325,NULL,NULL,NULL,NULL,91581371993132002920,137199313200292,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137199613200191,9154800278013547325,NULL,NULL,NULL,NULL,91581371996132001910,137199613200191,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137199813200050,9147480535213897386,NULL,NULL,NULL,NULL,91581371998132000500,137199813200050,NULL,Available,9141687398113679751,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137200013200424,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372000132004240,137200013200424,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137200113200424,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372001132004240,137200113200424,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137200513200457,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372005132004570,137200513200457,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137202413200457,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372024132004570,137202413200457,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137202513200324,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372025132003240,137202513200324,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137202513200457,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372025132004570,137202513200457,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137202713200324,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372027132003240,137202713200324,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137204013200557,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372040132005570,137204013200557,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137204713200457,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372047132004570,137204713200457,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137204813200324,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372048132003240,137204813200324,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137206113200557,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372061132005570,137206113200557,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137206413200457,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372064132004570,137206413200457,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137206513200457,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372065132004570,137206513200457,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137206613200457,9154765100913385974,NULL,Pre-Activated,NULL,NULL,91581372066132004570,137206613200457,NULL,In Use,9141687398113679757,NULL,9148563043913674855,NULL,Normal,9141616093313337422,NULL,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
