pn_name,pn_id,parent_range_id,parent_10k_range_id,parent_100k_range_id,parent_area_id,aging_period_days,apply_category_def,associated_sim_iccid,auto_reservation_period_hours,sales_order_id,customer_id,disconnection_date,first_owner_id,first_owner_name,in_service_date,is_virtual_number,latency_period,latency_period_end_date,lock_date,logical_status_id,logical_status_value,phone_number,pn_pool_id,pn_pool_name,pn_type_id,pn_type_value,ported_in_from_id,ported_in_from_name,ported_out_to_id,ported_out_to_name,reservation_date,reserved_for_customer_account,subscription_type_id,subscription_type_value,vip_category_id,vip_category_name,extraction_timestamp,date,history_date
754110107,9158137200413200595,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,NULL,Yes,NULL,720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,754110107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
754110317,9158137200513200796,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,NULL,Yes,NULL,720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,754110317,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
754110178,9158137201113200695,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,NULL,Yes,NULL,720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,754110178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
754110248,9158137201813200695,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,NULL,Yes,NULL,720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,754110248,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
754110269,9158137202013200795,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,NULL,Yes,NULL,720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,754110269,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
754110199,9158137202313200695,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,NULL,Yes,NULL,720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,754110199,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
754110140,9158137203713200595,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,NULL,Yes,NULL,720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,754110140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
754110131,9158137204613200595,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,NULL,Yes,NULL,720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,754110131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
754110045,9158137205313200457,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,NULL,Yes,9158137204313200457,720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9144596250213377982,Locked,754110045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
754110112,9158137205413200595,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,NULL,Yes,NULL,720,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,754110112,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
