party_role_id,individual_id,customer_id,customer_ref,individual_ref,extraction_timestamp,date,history_date
9158143990413256274,9158143991313256259,9158143997213256259,1000163969,3000163969,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158143991413256013,9158143980313256083,9158143986213256083,1000163968,3000163968,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144006413256855,9158144008613256645,9158144004613256645,1000163974,3000163974,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144221113273619,9158144217213273584,9158144213213273584,1000164019,3000164021,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144243613274156,9158144244513274156,9158144240513274156,1000164024,3000164026,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144297313275724,9158144294513275624,9158144290513275624,1000164028,3000164032,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144346013276806,9158144339913276683,9158144335913276683,1000164030,3000164034,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144388713277640,9158144389613277640,9158144385613277640,1000164048,3000164038,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144403113278296,9158144404013278296,9158144400013278296,1000164049,3000164039,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144442413278523,9158144421213278440,9158144427113278440,1000164050,3000164040,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144508213279968,9158144499213279883,9158144495213279883,1000164088,3000164068,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144530313280742,9158144537413280642,9158144533413280642,1000164090,3000164070,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144536513280642,9158144537413280642,9158144533413280642,1000164090,3000164070,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144557013281026,9158144544213280933,9158144540213280933,1000164091,3000164071,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144625913283645,9158144626813283645,9158144622813283645,1000164108,3000164088,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144635313284078,9158144636213284078,9158144632213284078,1000164109,3000164089,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
