event_type_id,event_attr_num,attr_name,extraction_timestamp,date,history_date
-808906,2,Quantity,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808906,4,Charge End Date,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808906,11,Product Package Instance,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808906,20,Attribute2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808905,5,Product Age (months),2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808905,6,Product Charge Flag,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808905,10,Saving,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808905,23,Attribute5,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808904,3,Charge Start Date,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808904,4,Charge End Date,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808904,5,Product Age (months),2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808904,8,Unpackaged Price,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808904,12,Package Id,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808904,15,Contract Term Units,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808904,22,Attribute4,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808903,11,Product Package Instance,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808903,19,Attribute1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808903,21,Attribute3,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808902,1,Charge type,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808902,8,Unpackaged Price,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808902,9,Pre-Override Price,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808902,10,Saving,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808901,10,Saving,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808901,15,Contract Term Units,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808900,11,Product Package Instance,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808900,13,Contract Ref,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808900,23,Attribute5,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808899,3,Real-Time Balance indicator,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808899,20,OTC Attribute 11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808899,24,OTC Attribute 15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808898,13,OTC Attribute 4,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808898,17,OTC Attribute 8,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808898,20,OTC Attribute 11,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808898,21,OTC Attribute 12,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808898,22,OTC Attribute 13,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808898,23,OTC Attribute 14,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808897,6,One Time Charge Class,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808897,13,OTC Attribute 4,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808897,22,OTC Attribute 13,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808896,2,OTC Type ID,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808896,24,OTC Attribute 15,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808895,3,Real-Time Balance indicator,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808895,11,OTC Attribute 2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808895,13,OTC Attribute 4,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808895,14,OTC Attribute 5,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808895,17,OTC Attribute 8,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808894,10,OTC Attribute 1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808894,11,OTC Attribute 2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808894,15,OTC Attribute 6,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808894,17,OTC Attribute 8,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808893,2,OTC Type ID,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-808893,5,Associated Budget Centre Name,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
