result_id,result_value,attr_type_def_id
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
9153466952013203992,Passed,9153466952013203991
9153466952013203993,Failed,9153466952013203991
