customer_ref,account_num,product_seq,product_id,product_name,event_source,start_dtm,end_dtm,event_type_id,event_type_name,revenue_code_id,revenue_code_name,event_source_label,credit_limit_mny,event_source_upper,rating_tariff_id,rating_tariff_name,competitor_rating_tariff_id,domain_id,extraction_timestamp,date,history_date
1000163929,2000163929,2,28,Mobile Postpaid Line,77110055,2020-11-23 10:12:41,NULL,7,National Data,400000007,400000007,77110055,NULL,77110055,10001,Pre-costed RP,NULL,302433693,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163950,2000163950,2,28,Mobile Postpaid Line,77110082,2020-11-23 10:15:30,2020-11-24 12:13:57,3,Voice Roaming,400000003,400000003,77110082,NULL,77110082,10001,Pre-costed RP,NULL,842916269,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163952,2000163952,2,28,Mobile Postpaid Line,77110088,2020-11-23 10:53:49,2020-11-24 11:40:36,7,National Data,400000007,400000007,77110088,NULL,77110088,10001,Pre-costed RP,NULL,364533619,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163952,2000163952,2,28,Mobile Postpaid Line,77110173,2020-11-23 10:15:48,2020-11-23 10:53:47,2,International Calls,400000002,400000002,77110173,NULL,77110173,10001,Pre-costed RP,NULL,364533619,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163952,2000163952,2,28,Mobile Postpaid Line,77110173,2020-11-23 10:15:48,2020-11-23 10:53:47,5,International SMS,400000005,400000005,77110173,NULL,77110173,10001,Pre-costed RP,NULL,364533619,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163953,2000163953,2,28,Mobile Postpaid Line,77110154,2020-11-23 10:16:12,2020-12-05 17:02:06,4,National SMS,400000004,400000004,77110154,NULL,77110154,10001,Pre-costed RP,NULL,566702417,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163953,2000163953,2,28,Mobile Postpaid Line,77110154,2020-11-23 10:16:12,2020-12-05 17:02:06,5,International SMS,400000005,400000005,77110154,NULL,77110154,10001,Pre-costed RP,NULL,566702417,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163953,2000163953,2,28,Mobile Postpaid Line,77110154,2020-11-23 10:16:12,2020-12-05 17:02:06,8,Data Roaming,400000008,400000008,77110154,NULL,77110154,10001,Pre-costed RP,NULL,566702417,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163955,2000163955,2,28,Mobile Postpaid Line,77110180,2020-11-23 10:16:29,NULL,4,National SMS,400000004,400000004,77110180,NULL,77110180,10001,Pre-costed RP,NULL,759941606,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163956,2000163956,2,28,Mobile Postpaid Line,77110033,2020-11-24 14:14:18,NULL,2,International Calls,400000002,400000002,77110033,NULL,77110033,10001,Pre-costed RP,NULL,853647607,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163956,2000163956,2,28,Mobile Postpaid Line,77110033,2020-11-24 14:14:18,NULL,5,International SMS,400000005,400000005,77110033,NULL,77110033,10001,Pre-costed RP,NULL,853647607,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163956,2000163956,2,28,Mobile Postpaid Line,77110107,2020-11-23 10:18:32,2020-11-24 14:14:21,2,International Calls,400000002,400000002,77110107,NULL,77110107,10001,Pre-costed RP,NULL,853647607,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163956,2000163956,2,28,Mobile Postpaid Line,77110107,2020-11-23 10:18:32,2020-11-24 14:14:21,3,Voice Roaming,400000003,400000003,77110107,NULL,77110107,10001,Pre-costed RP,NULL,853647607,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163956,2000163956,2,28,Mobile Postpaid Line,77110107,2020-11-23 10:18:32,2020-11-24 14:14:21,8,Data Roaming,400000008,400000008,77110107,NULL,77110107,10001,Pre-costed RP,NULL,853647607,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163972,2000164038,2,28,Mobile Postpaid Line,77110097,2020-11-23 14:30:11,NULL,3,Voice Roaming,400000003,400000003,77110097,NULL,77110097,10001,Pre-costed RP,NULL,833922644,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163972,2000164038,2,28,Mobile Postpaid Line,77110097,2020-11-23 14:30:11,NULL,4,National SMS,400000004,400000004,77110097,NULL,77110097,10001,Pre-costed RP,NULL,833922644,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163972,2000164038,2,28,Mobile Postpaid Line,77110097,2020-11-23 14:30:11,NULL,5,International SMS,400000005,400000005,77110097,NULL,77110097,10001,Pre-costed RP,NULL,833922644,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163972,2000164038,2,28,Mobile Postpaid Line,77110097,2020-11-23 14:30:11,NULL,8,Data Roaming,400000008,400000008,77110097,NULL,77110097,10001,Pre-costed RP,NULL,833922644,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163976,2000163976,2,28,Mobile Postpaid Line,77110045,2020-11-23 17:08:40,NULL,6,SMS Roaming,400000006,400000006,77110045,NULL,77110045,10001,Pre-costed RP,NULL,600934380,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163990,2000163990,2,28,Mobile Postpaid Line,77110200,2020-11-23 10:26:05,NULL,2,International Calls,400000002,400000002,77110200,NULL,77110200,10001,Pre-costed RP,NULL,946899142,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163990,2000163990,2,28,Mobile Postpaid Line,77110200,2020-11-23 10:26:05,NULL,3,Voice Roaming,400000003,400000003,77110200,NULL,77110200,10001,Pre-costed RP,NULL,946899142,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163990,2000163990,2,28,Mobile Postpaid Line,77110200,2020-11-23 10:26:05,NULL,4,National SMS,400000004,400000004,77110200,NULL,77110200,10001,Pre-costed RP,NULL,946899142,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
1000163996,2000163996,2,28,Mobile Postpaid Line,77110062,2020-11-23 10:29:24,NULL,6,SMS Roaming,400000006,400000006,77110062,NULL,77110062,10001,Pre-costed RP,NULL,341648300,2020-11-30 07:12:43,2020-11-30,2020-11-30-07-12-43
