party_role_id,individual_id,customer_id,customer_ref,individual_ref,role_id,role_value,extraction_timestamp,date,history_date
9158602867813909491,9158602865813909143,9158602864813909143,1000164084,3000163939,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602869613909259,9158602865613909014,9158602864613909014,1000164080,3000163935,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602878013909726,9158602864013909475,9158602863013909475,1000164085,3000163940,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602933113912199,9158602937713911881,9158602936713911881,1000164168,3000163969,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602933313911651,9158602938113911415,9158602937113911415,1000164164,3000163965,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602934813912099,9158602930413911861,9158602939313911861,1000164167,3000163968,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602944613912982,9158602945513912970,9158602941513912970,1000164183,3000163984,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602946213912863,9158602947113912863,9158602943113912863,1000164181,3000163982,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158603372813913190,9158603375713913190,9158603371713913190,1000164185,3000163986,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158603718913913720,9158603639113913700,9158603635113913700,1000166569,3000163990,9134809582313422803,Accounting/Billing,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158605096813979030,9158605072213978800,9158605078113978800,1000166589,3000164009,9134809582313422803,Accounting/Billing,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602857213908865,9158602842313908672,9158602841313908672,1000164043,3000163931,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602875513909969,9158602865113909698,9158602864113909698,1000164093,3000163944,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602877313909726,9158602863113909591,9158602862113909591,1000164086,3000163941,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602882813910237,9158602870113910085,9158602879013910085,1000164111,3000163948,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602883513910581,9158602888613910237,9158602887613910237,1000164134,3000163951,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602892813910609,9158602881113910460,9158602880113910460,1000164142,3000163954,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
