customer_ref,account_num,product_seq,product_id,product_name,event_source,start_dtm,end_dtm,event_type_id,event_type_name,revenue_code_id,revenue_code_name,event_source_label,credit_limit_mny,event_source_upper,rating_tariff_id,rating_tariff_name,competitor_rating_tariff_id,domain_id,history_date
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,754110155,2020-08-27 10:51:05,NULL,4,Mobile SMS Roaming Originating,-1,Undefined,754110155,NULL,754110155,6,Prepaid - TE  - SMSRoaming O,NULL,46232338,2020-10-04-00-00-00
