pn_name,pn_id,parent_range_id,parent_10k_range_id,parent_100k_range_id,parent_area_id,apply_category_def,associated_sim_iccid,auto_reservation_period_hours,sales_order_id,customer_id,disconnection_date,first_owner_id,first_owner_name,in_service_date,is_virtual_number,latency_period,latency_period_end_date,lock_date,logical_status_id,logical_status_value,phone_number,pn_pool_id,pn_pool_name,pn_type_id,pn_type_value,ported_in_from_id,ported_in_from_name,ported_out_to_id,ported_out_to_name,reservation_date,reserved_for_customer_account,vip_category_id,vip_category_name,extraction_timestamp,date,history_date
75110005,9158602771413908278,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,Yes,NULL,720,NULL,NULL,NULL,9155890975613404789,Operator,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,75110005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-11-03 12:04:59.0,2020-11-03,2020-11-03-12-04-59
75110022,9158602778513908278,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,Yes,NULL,720,NULL,NULL,NULL,9155890975613404789,Operator,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,75110022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172442,Silver,2020-11-03 12:04:59.0,2020-11-03,2020-11-03-12-04-59
75110164,9158602780013908425,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,Yes,NULL,720,NULL,NULL,NULL,9155890975613404789,Operator,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,75110164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-11-03 12:04:59.0,2020-11-03,2020-11-03-12-04-59
75110094,9158602780313908324,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,Yes,NULL,720,NULL,NULL,NULL,9155890975613404789,Operator,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,75110094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-11-03 12:04:59.0,2020-11-03,2020-11-03-12-04-59
75110106,9158602782413908324,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,Yes,NULL,720,NULL,NULL,NULL,9155890975613404789,Operator,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,75110106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-11-03 12:04:59.0,2020-11-03,2020-11-03-12-04-59
75110227,9158602783613908425,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,Yes,NULL,720,NULL,NULL,NULL,9155890975613404789,Operator,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,75110227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-11-03 12:04:59.0,2020-11-03,2020-11-03-12-04-59
75110069,9158602785013908324,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,Yes,NULL,720,NULL,NULL,NULL,9155890975613404789,Operator,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,75110069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-11-03 12:04:59.0,2020-11-03,2020-11-03-12-04-59
75110199,9158602785313908425,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,Yes,NULL,720,NULL,9158602842213908672,NULL,9155890975613404789,Operator,NULL,NULL,NULL,NULL,NULL,9144596250213377990,Reserved,75110199,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-10-19 13:15:32.0,NULL,9153651213713172482,Regular,2020-11-03 12:04:59.0,2020-11-03,2020-11-03-12-04-59
75110090,9158602786213908324,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,Yes,NULL,720,NULL,NULL,NULL,9155890975613404789,Operator,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,75110090,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-11-03 12:04:59.0,2020-11-03,2020-11-03-12-04-59
75110220,9158602786513908425,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,Yes,NULL,720,NULL,NULL,NULL,9155890975613404789,Operator,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,75110220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-11-03 12:04:59.0,2020-11-03,2020-11-03-12-04-59
75110018,9158602774513908278,9156806932513867400,9156806935813867300,9156806934813867300,9156806933813867300,Yes,NULL,720,NULL,NULL,NULL,9155890975613404789,Operator,NULL,NULL,NULL,NULL,NULL,9144596250213377979,Available,75110018,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9153651213713172482,Regular,2020-11-03 12:04:59.0,2020-11-03,2020-11-03-12-04-59
