location_id,location_name,address_id,location_type_id,location_type_value,customer_id,ownership_id,ownership_value,extraction_timestamp,date,history_date
9132364055013895845,Khandallah,NULL,NULL,NULL,9132364055013895843,NULL,NULL,2020-11-13 09:16:39.0,2020-11-13,2020-11-13-09-16-39
9132623000013206439,Newtown,NULL,NULL,NULL,9132364055013895843,NULL,NULL,2020-11-13 09:16:39.0,2020-11-13,2020-11-13-09-16-39
9158602847713908572,Oman,9157907864613896519,NULL,NULL,9158602842713908572,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602869913909014,Oman,9157907864613896519,NULL,NULL,9158602864913909014,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602872413910191,Oman,9157907864613896519,NULL,NULL,9158602877313910191,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602885513910337,Oman,9157907864613896519,NULL,NULL,9158602880513910337,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602890413911192,Oman,9157907864613896519,NULL,NULL,9158602895313911192,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602894813910717,Oman,9157907864613896519,NULL,NULL,9158602899713910717,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602930113911861,Oman,9157907864613896519,NULL,NULL,9158602935013911861,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602932213911415,Oman,9157907864613896519,NULL,NULL,9158602937113911415,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602933813911991,Oman,9157907864613896519,NULL,NULL,9158602938713911991,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602939413911981,Oman,9157907864613896519,NULL,NULL,9158602934413911981,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602940213912542,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158602948013912542,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602942713912659,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158602940613912648,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602945213912863,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158602943113912863,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602948713912326,Oman,9157907864613896519,NULL,NULL,9158602943713912326,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158603371813913190,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158603371713913190,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158605070313978800,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158605078113978800,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158638227513190356,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158638225413190356,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9132623000013206425,Hataitai,NULL,NULL,NULL,9132364055013895843,NULL,NULL,2020-11-13 09:16:39.0,2020-11-13,2020-11-13-09-16-39
9154793098813366516,Customer Location (1),9157016077413873927,9147247029013882013,Regular,9154793098813366505,NULL,NULL,2020-11-13 09:16:39.0,2020-11-13,2020-11-13-09-16-39
9158602846313908672,Oman,9157907864613896519,NULL,NULL,9158602841313908672,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602869113909698,Oman,9157907864613896519,NULL,NULL,9158602864113909698,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602869613909014,Oman,9157907864613896519,NULL,NULL,9158602864613909014,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602869813909143,Oman,9157907864613896519,NULL,NULL,9158602864813909143,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602874113910085,Oman,9157907864613896519,NULL,NULL,9158602879013910085,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602882713910237,Oman,9157907864613896519,NULL,NULL,9158602887613910237,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602885113910460,Oman,9157907864613896519,NULL,NULL,9158602880113910460,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602893713910841,Oman,9157907864613896519,NULL,NULL,9158602898613910841,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602933113911415,Oman,9157907864613896519,NULL,NULL,9158602938013911415,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9132623000013206420,Aro Valley,NULL,NULL,NULL,9132364055013895843,NULL,NULL,2020-11-13 09:16:39.0,2020-11-13,2020-11-13-09-16-39
9158602847213908672,Oman,9157907864613896519,NULL,NULL,9158602842213908672,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602848613908572,Oman,9157907864613896519,NULL,NULL,9158602783613908525,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602867113909591,Oman,9157907864613896519,NULL,NULL,9158602862113909591,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602868213909698,Oman,9157907864613896519,NULL,NULL,9158602863213909698,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602870913909869,Oman,9157907864613896519,NULL,NULL,9158602875813909869,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602886813910360,Oman,9157907864613896519,NULL,NULL,9158602881813910360,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602893313910709,Oman,9157907864613896519,NULL,NULL,9158602898213910709,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602894413910817,Oman,9157907864613896519,NULL,NULL,9158602899313910817,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602925413911386,Oman,9157907864613896519,NULL,NULL,9158602920413911386,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602935413911861,Oman,9157907864613896519,NULL,NULL,9158602939313911861,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602935913911881,Oman,9157907864613896519,NULL,NULL,9158602939813911881,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602940713912219,Oman,9157907864613896519,NULL,NULL,9158602945613912219,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602945113912970,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158602943013912970,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158603450113913469,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158603450013913469,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158603635213913700,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158603635113913700,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158605163313979814,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158605161213979814,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602868813909598,Oman,9157907864613896519,NULL,NULL,9158602863813909598,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602870613909843,Oman,9157907864613896519,NULL,NULL,9158602875513909843,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602878713909626,Oman,9157907864613896519,NULL,NULL,9158602873713909626,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602909513911201,Oman,9157907864613896519,NULL,NULL,9158602904513911201,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602924113911386,Oman,9157907864613896519,NULL,NULL,9158602929013911386,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602943913912763,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158602949713912763,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602947013912426,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158602942813912326,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602852213908700,Oman,9157907864613896519,NULL,NULL,9158602857113908700,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602852913908600,Oman,9157907864613896519,NULL,NULL,9158602857813908600,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602859313909084,Oman,9157907864613896519,NULL,NULL,9158602854313909084,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602860313909114,Oman,9157907864613896519,NULL,NULL,9158602865213909114,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602868013909475,Oman,9157907864613896519,NULL,NULL,9158602863013909475,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602869513909114,Oman,9157907864613896519,NULL,NULL,9158602864513909114,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602881213910224,Oman,9157907864613896519,NULL,NULL,9158602886113910224,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602894113910817,Oman,9157907864613896519,NULL,NULL,9158602899013910817,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602903513911201,Oman,9157907864613896519,NULL,NULL,9158602908413911201,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602931813911881,Oman,9157907864613896519,NULL,NULL,9158602936713911881,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602939713911315,Oman,9157907864613896519,NULL,NULL,9158602934713911315,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602943613912970,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158602941513912970,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602946013912426,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158602943813912326,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602946113912759,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158602943913912659,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602947413912542,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158602945313912542,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158742356913302860,Customer Location (1),9157907864613896519,9147247029013882013,Regular,9158742356813302860,NULL,NULL,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
