jeopardy_level_id,jeopardy_level_value,attr_type_def_id
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
7060641648013030762,6#00FF00$ Normal,7060641648013030761
7060641648013030763,6#FF0000$ In Jeopardy,7060641648013030761
