productoffering_id,productoffering_name,productoffering_template_id,productoffering_template_name,productoffering_type_id,productoffering_type_value,business_domain_id,business_domain_value,available_from_date,available_to_date,eliminated_from_date,productoffering_weight,billing_specification_id,billing_specification_value,initial_productoffering_id,productoffering_code,productoffering_status_id,productoffering_status_value,external_id,suspendable,is_top_offer,is_mandatory,extraction_timestamp,date,history_date
6620000034,Recurring Data 5GB,9157989469565553962,National Data Recurring Template,9125737315713245976,Product Offering,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565553962,NULL,9140545748713273966,Released,NULL,Yes,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6620000038,Recurring GCC Unlimited (Voice/Data/SMS),9157989469565554060,Roaming GCC Bundle Recurring Template,9125737315713245976,Product Offering,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554060,NULL,9140545748713273966,Released,NULL,Yes,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6620000039,Recurring GCC TYHTA (Voice/Data/SMS),9157989469565554060,Roaming GCC Bundle Recurring Template,9125737315713245976,Product Offering,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554060,NULL,9140545748713273966,Released,NULL,Yes,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6620000105,Recurring GCC TYHTA Included (Voice/Data/SMS),9157989469565554060,Roaming GCC Bundle Recurring Template,9125737315713245976,Product Offering,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554060,NULL,9140545748713273966,Released,NULL,Yes,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6620000051,Recurring VF Passport Unlimited (Voice/Data/SMS),9157989469565554078,Roaming Passport Recurring Template,9125737315713245976,Product Offering,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554078,NULL,9140545748713273966,Released,NULL,Yes,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6620000023,One Time National Voice 60,9157989469565554225,National Calling One Time Template,9140129238613601812,One-Time Service,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554225,NULL,9140545748713273966,Released,NULL,No,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6620000086,Free International Voice 200 - Zone 1 For 1st Month,9157989469565554405,CVM International One Time Template,9140129238613601812,One-Time Service,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554405,NULL,9140545748713273966,Released,NULL,No,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6620000100,VF Video Passes Unlimited Free For 1st Month,9157989469565554412,CVM VF Passes One Time Template,9140129238613601812,One-Time Service,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554412,NULL,9140545748713273966,Released,NULL,No,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6640000000,Courier Delivery with Upfront,9157989469565554436,Addressed Delivery Upfront Template,9140129238613601812,One-Time Service,9147188376613859544,Delivery,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554436,NULL,9140545748713273966,Released,NULL,No,Yes,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6630000001,SIM Card,9157989469565554471,SIM Card Template,9125737315713245976,Product Offering,9148543834613660834,SIM Card,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554471,NULL,9140545748713273966,Released,NULL,No,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6630000006,Premium Phone Number,9157989469565554503,Premium Phone Number Template,9140129238613601812,One-Time Service,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554503,NULL,9140545748713273966,Released,NULL,No,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
7630000003,Change SIM Fee Postpaid,9158199561265939850,Change SIM Fee Postpaid Template,9140129238613601812,One-Time Service,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9158199561265939850,NULL,9140545748713273966,Released,NULL,No,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
7610000000,VF Red - M,9158199561265939859,Mobile Postpaid Plan Template,9125737315713245976,Product Offering,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,1,9158199402565849119,Mobile Postpaid Plan,9158199561265939859,NULL,9140545748713273966,Released,NULL,Yes,Yes,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6630000015,Bar Outgoing Calls,9158456060365017228,Bar Outgoing Calls Template,9125737315713245976,Product Offering,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9158456060365017228,NULL,9140545748713273966,Released,NULL,No,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6630000018,Bar Roaming Data,9158456060365017234,Bar Roaming Data Template,9125737315713245976,Product Offering,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9158456060365017234,NULL,9140545748713273966,Released,NULL,No,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6630000020,Bar SMS,9158456060365017238,Bar SMS Template,9125737315713245976,Product Offering,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9158456060365017238,NULL,9140545748713273966,Released,NULL,No,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6620000002,One Time International Voice 30 - Zone 3,9157989469565554314,International Calling One Time Template,9140129238613601812,One-Time Service,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554314,NULL,9140545748713273966,Released,NULL,No,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6620000081,Get 1GB national data FREE,9157989469565554397,CVM National One Time Template,9140129238613601812,One-Time Service,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554397,NULL,9140545748713273966,Released,NULL,No,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6620000085,Get 60 minutes national calling FREE,9157989469565554397,CVM National One Time Template,9140129238613601812,One-Time Service,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554397,NULL,9140545748713273966,Released,NULL,No,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6620000095,VF Social Passes 5GB Free For 3-months,9157989469565554419,CVM VF Passes Recurring Template,9125737315713245976,Product Offering,NULL,NULL,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554419,NULL,9140545748713273966,Released,NULL,No,No,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
6640000001,Pick Up Point,9157989469565554465,Pick Up Delivery Template,9140129238613601812,One-Time Service,9147188376613859544,Delivery,2020-01-01 00:00:00.0,NULL,NULL,NULL,NULL,NULL,9157989469565554465,NULL,9140545748713273966,Released,NULL,No,Yes,True,2020-11-13 04:32:25.0,2020-11-13,2020-11-13-04-32-25
